Rank,Filter Name,Failure Rate %,Weight,Phase,Status
1,Wick Dominance,47.5,2.5,Phase 3/4,PENDING
2,Absorption,46.3,2.7,Phase 3/4,PENDING
3,Smart Money Bias,45.1,2.9,Phase 3/4,PENDING
4,Liquidity Pool,43.9,3.1,Phase 3/4,PENDING
5,Chop Zone,42.7,3.3,Phase 3/4,PENDING
6,VWAP Divergence,41.5,3.5,Phase 2,ENHANCED (2026-03-08)
7,Volatility Squeeze,40.3,3.7,Phase 2,ENHANCED (2026-03-08)
8,Volatility Model,39.1,3.9,Phase 3/4,PENDING
9,HH/LL Trend,37.9,4.1,Phase 3/4,PENDING
10,ATR Momentum Burst,36.7,4.3,Phase 1,ENHANCED (2026-03-05)
11,TREND,34.3,4.7,Phase 1,ENHANCED (2026-03-05)
12,Fractal Zone,33.7,4.8,Phase 1,ENHANCED (2026-03-05)
13,Momentum,33.1,4.9,Phase 1,ENHANCED (2026-03-05)
14,MACD,32.5,5.0,Phase 1,ENHANCED (2026-03-05)
15,Volume Spike,32.5,5.0,Phase 1,ENHANCED (2026-03-05)
16,MTF Volume Agreement,32.5,5.0,Phase 2,ENHANCED (2026-03-08)
17,Liquidity Awareness,32.5,5.0,Phase 2,ENHANCED (2026-03-08)
18,Candle Confirmation,32.5,5.0,Phase 3/4,PENDING
19,Spread Filter,32.5,5.0,Phase 2,ENHANCED (2026-03-08)
20,Support/Resistance,32.5,5.0,Phase 2,ENHANCED (2026-03-08)
